rules,support,confidence,lift
{来料加} => {来料加工},0.026990553,0.952380952,35.28571429
{来料加} => {料加工},0.026990553,0.952380952,16.41196013
{来料加} => {加工},0.026990553,0.952380952,13.57142857
"{关税,税问题} => {关税问题}",0.024291498,0.947368421,39
"{关税,税问题} => {关税问}",0.024291498,0.947368421,39
{进口许可} => {许可证},0.013495277,0.909090909,32.07792208
{口货物} => {进口货物},0.04048583,0.909090909,22.45454545
{口货物} => {进口货},0.04048583,0.909090909,18.20638821
"{货物,口货物} => {进口货物}",0.04048583,0.909090909,22.45454545
"{货物,口货物} => {进口货}",0.04048583,0.909090909,18.20638821
{进料} => {进料加工},0.039136302,0.90625,23.15625
{进料} => {进料加},0.039136302,0.90625,23.15625
{进料} => {料加工},0.039136302,0.90625,15.61700581
{进料} => {加工},0.039136302,0.90625,12.9140625
{加工} => {料加工},0.05802969,0.826923077,14.25
{进口货} => {进口货物},0.04048583,0.810810811,20.02702703
{进口货} => {口货物},0.04048583,0.810810811,18.20638821
{进口货} => {货物},0.04048583,0.810810811,10.92383292
"{核销,进口付} => {口付汇}",0.005398111,0.8,25.77391304
"{核销,进口付} => {进口付汇}",0.005398111,0.8,25.77391304
"{核销,进口付} => {付汇}",0.005398111,0.8,13.17333333
{进口付} => {口付汇},0.031039136,0.766666667,24.7
{进口付} => {进口付汇},0.031039136,0.766666667,24.7
{进口付} => {付汇},0.031039136,0.766666667,12.62444444
{料加工} => {进料加工},0.039136302,0.674418605,17.23255814
{料加工} => {进料加},0.039136302,0.674418605,17.23255814
{料加工} => {进料},0.039136302,0.674418605,15.61700581
"{加工,料加工} => {进料加工}",0.039136302,0.674418605,17.23255814
"{加工,料加工} => {进料加}",0.039136302,0.674418605,17.23255814
"{加工,料加工} => {进料}",0.039136302,0.674418605,15.61700581
{清关问题} => {进口清},0.010796221,0.666666667,24.7
{清关问题} => {进口清关},0.010796221,0.666666667,24.7
"{关税,税的问题} => {口关税}",0.002699055,0.666666667,13.72222222
"{关税,税的问题} => {进口关税}",0.002699055,0.666666667,13.72222222
"{关税,税的问题} => {进口关}",0.002699055,0.666666667,13.72222222
"{关问题,清关问题} => {进口清}",0.010796221,0.666666667,24.7
"{清关,清关问题} => {进口清}",0.010796221,0.666666667,24.7
"{关问题,清关问题} => {进口清关}",0.010796221,0.666666667,24.7
"{清关,清关问题} => {进口清关}",0.010796221,0.666666667,24.7
"{操作,货物} => {进口货物}",0.002699055,0.666666667,16.46666667
"{操作,货物} => {口货物}",0.002699055,0.666666667,14.96969697
"{操作,货物} => {进口货}",0.002699055,0.666666667,13.35135135
"{关问题,清关} => {进口清}",0.010796221,0.666666667,24.7
"{关问题,清关} => {进口清关}",0.010796221,0.666666667,24.7
"{关问题,清关,清关问题} => {进口清}",0.010796221,0.666666667,24.7
"{关问题,清关,清关问题} => {进口清关}",0.010796221,0.666666667,24.7
{核销问题} => {进口核销},0.009446694,0.636363636,31.43636364
{核销问题} => {进口核},0.009446694,0.636363636,31.43636364
"{核销,核销问题} => {进口核销}",0.009446694,0.636363636,31.43636364
"{核销,核销问题} => {进口核}",0.009446694,0.636363636,31.43636364
{货物} => {口货物},0.044534413,0.6,13.47272727
{食品} => {进口食品},0.025641026,0.59375,23.15625
{食品} => {进口食},0.025641026,0.59375,23.15625
{加工} => {进料加工},0.039136302,0.557692308,14.25
{加工} => {进料加},0.039136302,0.557692308,14.25
{加工} => {进料},0.039136302,0.557692308,12.9140625
{货物} => {进口货物},0.04048583,0.545454545,13.47272727
{货物} => {进口货},0.04048583,0.545454545,10.92383292
{付汇} => {口付汇},0.031039136,0.511111111,16.46666667
{付汇} => {进口付汇},0.031039136,0.511111111,16.46666667
{付汇} => {进口付},0.031039136,0.511111111,12.62444444
"{付款,进口付} => {付款问题}",0.004048583,0.5,33.68181818
"{加工贸易,料加工} => {来料加工}",0.002699055,0.5,18.525
"{加工贸易,料加工} => {来料加}",0.002699055,0.5,17.64285714
"{加工贸易,料加工} => {进料加工}",0.002699055,0.5,12.77586207
"{加工贸易,料加工} => {进料加}",0.002699055,0.5,12.77586207
"{加工贸易,料加工} => {进料}",0.002699055,0.5,11.578125
"{关税,海关} => {口关税}",0.002699055,0.5,10.29166667
"{关税,海关} => {进口关税}",0.002699055,0.5,10.29166667
"{关税,海关} => {进口关}",0.002699055,0.5,10.29166667
"{料加工,贸易} => {来料加工}",0.002699055,0.5,18.525
"{料加工,贸易} => {来料加}",0.002699055,0.5,17.64285714
"{料加工,贸易} => {进料加工}",0.002699055,0.5,12.77586207
"{料加工,贸易} => {进料加}",0.002699055,0.5,12.77586207
"{料加工,贸易} => {进料}",0.002699055,0.5,11.578125
"{公司,货物} => {进口货物}",0.004048583,0.5,12.35
"{公司,货物} => {口货物}",0.004048583,0.5,11.22727273
"{公司,货物} => {进口货}",0.004048583,0.5,10.01351351
"{付汇,核销} => {口付汇}",0.005398111,0.5,16.10869565
"{付汇,核销} => {进口付汇}",0.005398111,0.5,16.10869565
"{付汇,核销} => {进口付}",0.005398111,0.5,12.35
"{关税,货物} => {进口货物}",0.004048583,0.5,12.35
"{关税,货物} => {口货物}",0.004048583,0.5,11.22727273
"{关税,货物} => {进口货}",0.004048583,0.5,10.01351351
"{加工贸易,料加工,贸易} => {来料加工}",0.002699055,0.5,18.525
"{加工贸易,料加工,贸易} => {来料加}",0.002699055,0.5,17.64285714
"{加工贸易,料加工,贸易} => {进料加工}",0.002699055,0.5,12.77586207
"{加工贸易,料加工,贸易} => {进料加}",0.002699055,0.5,12.77586207
"{加工贸易,料加工,贸易} => {进料}",0.002699055,0.5,11.578125
"{加工,加工贸易,料加工} => {来料加工}",0.002699055,0.5,18.525
"{加工,加工贸易,料加工} => {来料加}",0.002699055,0.5,17.64285714
"{加工,加工贸易,料加工} => {进料加工}",0.002699055,0.5,12.77586207
"{加工,加工贸易,料加工} => {进料加}",0.002699055,0.5,12.77586207
"{加工,加工贸易,料加工} => {进料}",0.002699055,0.5,11.578125
"{加工,料加工,贸易} => {来料加工}",0.002699055,0.5,18.525
"{加工,料加工,贸易} => {来料加}",0.002699055,0.5,17.64285714
"{加工,料加工,贸易} => {进料加工}",0.002699055,0.5,12.77586207
"{加工,料加工,贸易} => {进料加}",0.002699055,0.5,12.77586207
"{加工,料加工,贸易} => {进料}",0.002699055,0.5,11.578125
"{加工,加工贸易,料加工,贸易} => {来料加工}",0.002699055,0.5,18.525
"{加工,加工贸易,料加工,贸易} => {来料加}",0.002699055,0.5,17.64285714
"{加工,加工贸易,料加工,贸易} => {进料加工}",0.002699055,0.5,12.77586207
"{加工,加工贸易,料加工,贸易} => {进料加}",0.002699055,0.5,12.77586207
"{加工,加工贸易,料加工,贸易} => {进料}",0.002699055,0.5,11.578125
{许可证} => {进口许可},0.013495277,0.476190476,32.07792208
{清关} => {进口清},0.026990553,0.476190476,17.64285714
{清关} => {进口清关},0.026990553,0.476190476,17.64285714
{税问题} => {关税},0.025641026,0.475,4.3996875
{进口核销} => {核销问题},0.009446694,0.466666667,31.43636364
{进口核} => {核销问题},0.009446694,0.466666667,31.43636364
"{进口核,进口核销} => {核销问题}",0.009446694,0.466666667,31.43636364
"{核销,进口核销} => {核销问题}",0.009446694,0.466666667,31.43636364
"{核销,进口核} => {核销问题}",0.009446694,0.466666667,31.43636364
"{核销,进口核,进口核销} => {核销问题}",0.009446694,0.466666667,31.43636364
{料加工} => {来料加工},0.026990553,0.465116279,17.23255814
{料加工} => {来料加},0.026990553,0.465116279,16.41196013
"{加工,料加工} => {来料加工}",0.026990553,0.465116279,17.23255814
"{加工,料加工} => {来料加}",0.026990553,0.465116279,16.41196013
{核销} => {进口核销},0.020242915,0.454545455,22.45454545
{核销} => {进口核},0.020242915,0.454545455,22.45454545
{税问题} => {关税问题},0.024291498,0.45,18.525
{税问题} => {关税问},0.024291498,0.45,18.525
{关税} => {口关税},0.048582996,0.45,9.2625
{关税} => {进口关税},0.048582996,0.45,9.2625
{关税} => {进口关},0.048582996,0.45,9.2625
{关税问题} => {口关税},0.010796221,0.444444444,9.148148148
{关税问题} => {进口关税},0.010796221,0.444444444,9.148148148
{关税问题} => {进口关},0.010796221,0.444444444,9.148148148
{关税问} => {口关税},0.010796221,0.444444444,9.148148148
{关税问} => {进口关税},0.010796221,0.444444444,9.148148148
{关税问} => {进口关},0.010796221,0.444444444,9.148148148
"{关税问,关税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税问,关税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税问,关税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税问题,税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税问题,税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税问题,税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税,关税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税问,税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税问,税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税问,税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税,关税问} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税问,关税问题,税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税问,关税问题,税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税问,关税问题,税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税,关税问,关税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问,关税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问,关税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税,关税问题,税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问题,税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问题,税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税,关税问,税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问,税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问,税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税,关税问,关税问题,税问题} => {口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问,关税问题,税问题} => {进口关税}",0.010796221,0.444444444,9.148148148
"{关税,关税问,关税问题,税问题} => {进口关}",0.010796221,0.444444444,9.148148148
"{关税,增值税} => {口关税}",0.004048583,0.428571429,8.821428571
"{关税,增值税} => {进口关税}",0.004048583,0.428571429,8.821428571
"{关税,增值税} => {进口关}",0.004048583,0.428571429,8.821428571
"{关税,税问题} => {口关税}",0.010796221,0.421052632,8.666666667
"{关税,税问题} => {进口关税}",0.010796221,0.421052632,8.666666667
"{关税,税问题} => {进口关}",0.010796221,0.421052632,8.666666667
{加工贸易} => {料加工},0.005398111,0.4,6.893023256
{进口清} => {清关问题},0.010796221,0.4,24.7
{进口清关} => {清关问题},0.010796221,0.4,24.7
{进口清} => {关问题},0.010796221,0.4,9.561290323
{进口清关} => {关问题},0.010796221,0.4,9.561290323
"{加工贸易,贸易} => {料加工}",0.005398111,0.4,6.893023256
"{加工,加工贸易} => {料加工}",0.005398111,0.4,6.893023256
"{进口清,进口清关} => {清关问题}",0.010796221,0.4,24.7
"{进口清,清关} => {清关问题}",0.010796221,0.4,24.7
"{进口清关,清关} => {清关问题}",0.010796221,0.4,24.7
"{公司,贸易} => {进口食品}",0.002699055,0.4,15.6
"{公司,贸易} => {进口食}",0.002699055,0.4,15.6
"{货物,香港} => {公司}",0.002699055,0.4,6.443478261
"{关税,香港} => {关税问题}",0.002699055,0.4,16.46666667
"{关税,香港} => {关税问}",0.002699055,0.4,16.46666667
"{货物,香港} => {进口货物}",0.002699055,0.4,9.88
"{关税,香港} => {税问题}",0.002699055,0.4,7.41
"{货物,香港} => {口货物}",0.002699055,0.4,8.981818182
"{货物,香港} => {进口货}",0.002699055,0.4,8.010810811
"{货物,香港} => {关税}",0.002699055,0.4,3.705
"{关税,香港} => {货物}",0.002699055,0.4,5.389090909
"{公司,贸易} => {食品}",0.002699055,0.4,9.2625
"{进口清,进口清关} => {关问题}",0.010796221,0.4,9.561290323
"{进口清,清关} => {关问题}",0.010796221,0.4,9.561290323
"{进口清关,清关} => {关问题}",0.010796221,0.4,9.561290323
"{加工,贸易} => {料加工}",0.005398111,0.4,6.893023256
"{加工,加工贸易,贸易} => {料加工}",0.005398111,0.4,6.893023256
"{进口清,进口清关,清关} => {清关问题}",0.010796221,0.4,24.7
"{进口清,进口清关,清关} => {关问题}",0.010796221,0.4,9.561290323
{关问题} => {清关问题},0.016194332,0.387096774,23.90322581
{关问题} => {清关},0.016194332,0.387096774,6.829493088
{加工} => {来料加工},0.026990553,0.384615385,14.25
{加工} => {来料加},0.026990553,0.384615385,13.57142857
{代理} => {进口代理},0.012145749,0.333333333,27.44444444
{核销} => {核销问题},0.014844804,0.333333333,22.45454545
"{公司,香港} => {货物}",0.002699055,0.333333333,4.490909091
"{公司,货物} => {香港}",0.002699055,0.333333333,8.233333333
"{关税,货物} => {香港}",0.002699055,0.333333333,8.233333333
"{关税,货物} => {口关税}",0.002699055,0.333333333,6.861111111
"{关税,货物} => {进口关税}",0.002699055,0.333333333,6.861111111
"{关税,货物} => {进口关}",0.002699055,0.333333333,6.861111111
{付款} => {付款问题},0.014844804,0.323529412,21.79411765
{贸易} => {加工贸易},0.013495277,0.3125,23.15625
{贸易} => {加工},0.013495277,0.3125,4.453125
{设备} => {进口设},0.018893387,0.311111111,16.46666667
{设备} => {进口设备},0.018893387,0.311111111,16.46666667
{来料加工} => {进料加工},0.008097166,0.3,7.665517241
{来料加工} => {进料加},0.008097166,0.3,7.665517241
{来料加工} => {进料},0.008097166,0.3,6.946875
"{来料加,来料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{来料加,来料加工} => {进料加}",0.008097166,0.3,7.665517241
"{来料加,来料加工} => {进料}",0.008097166,0.3,6.946875
"{来料加工,料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{加工,来料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{来料加工,料加工} => {进料加}",0.008097166,0.3,7.665517241
"{加工,来料加工} => {进料加}",0.008097166,0.3,7.665517241
"{来料加工,料加工} => {进料}",0.008097166,0.3,6.946875
"{加工,来料加工} => {进料}",0.008097166,0.3,6.946875
"{来料加,料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{加工,来料加} => {进料加工}",0.008097166,0.3,7.665517241
"{来料加,料加工} => {进料加}",0.008097166,0.3,7.665517241
"{加工,来料加} => {进料加}",0.008097166,0.3,7.665517241
"{来料加,料加工} => {进料}",0.008097166,0.3,6.946875
"{加工,来料加} => {进料}",0.008097166,0.3,6.946875
"{来料加,来料加工,料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{加工,来料加,来料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{来料加,来料加工,料加工} => {进料加}",0.008097166,0.3,7.665517241
"{加工,来料加,来料加工} => {进料加}",0.008097166,0.3,7.665517241
"{来料加,来料加工,料加工} => {进料}",0.008097166,0.3,6.946875
"{加工,来料加,来料加工} => {进料}",0.008097166,0.3,6.946875
"{加工,来料加工,料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{加工,来料加工,料加工} => {进料加}",0.008097166,0.3,7.665517241
"{加工,来料加工,料加工} => {进料}",0.008097166,0.3,6.946875
"{加工,来料加,料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{加工,来料加,料加工} => {进料加}",0.008097166,0.3,7.665517241
"{加工,来料加,料加工} => {进料}",0.008097166,0.3,6.946875
"{加工,来料加,来料加工,料加工} => {进料加工}",0.008097166,0.3,7.665517241
"{加工,来料加,来料加工,料加工} => {进料加}",0.008097166,0.3,7.665517241
"{加工,来料加,来料加工,料加工} => {进料}",0.008097166,0.3,6.946875
{清关} => {清关问题},0.016194332,0.285714286,17.64285714
{进口设} => {税问题},0.005398111,0.285714286,5.292857143
{进口设备} => {税问题},0.005398111,0.285714286,5.292857143
{清关} => {关问题},0.016194332,0.285714286,6.829493088
{来料加} => {进料加工},0.008097166,0.285714286,7.300492611
{来料加} => {进料加},0.008097166,0.285714286,7.300492611
{来料加} => {进料},0.008097166,0.285714286,6.616071429
"{进口设,进口设备} => {税问题}",0.005398111,0.285714286,5.292857143
"{进口设,设备} => {税问题}",0.005398111,0.285714286,5.292857143
"{进口设备,设备} => {税问题}",0.005398111,0.285714286,5.292857143
"{进口设,进口设备,设备} => {税问题}",0.005398111,0.285714286,5.292857143
{增值税} => {关税},0.009446694,0.28,2.5935
{付款问题} => {进口付},0.004048583,0.272727273,6.736363636
"{付款,付款问题} => {进口付}",0.004048583,0.272727273,6.736363636
{税的问题} => {增值税},0.005398111,0.266666667,7.904
{关问题} => {进口清},0.010796221,0.258064516,9.561290323
{关问题} => {进口清关},0.010796221,0.258064516,9.561290323
{核销} => {付汇},0.010796221,0.242424242,3.991919192
{关税} => {税问题},0.025641026,0.2375,4.3996875
{报关} => {进口报关},0.012145749,0.225,18.525
{关税} => {关税问题},0.024291498,0.225,9.2625
{关税} => {关税问},0.024291498,0.225,9.2625
{口关税} => {关税问题},0.010796221,0.222222222,9.148148148
{进口关税} => {关税问题},0.010796221,0.222222222,9.148148148
{进口关} => {关税问题},0.010796221,0.222222222,9.148148148
{口关税} => {关税问},0.010796221,0.222222222,9.148148148
{进口关税} => {关税问},0.010796221,0.222222222,9.148148148
{进口关} => {关税问},0.010796221,0.222222222,9.148148148
{口关税} => {税问题},0.010796221,0.222222222,4.116666667
{进口关税} => {税问题},0.010796221,0.222222222,4.116666667
{进口关} => {税问题},0.010796221,0.222222222,4.116666667
"{进口关税,口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{进口关,口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{关税,口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{进口关,进口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{关税,进口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{关税,进口关} => {关税问题}",0.010796221,0.222222222,9.148148148
"{进口关税,口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{进口关,口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{关税,口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{进口关,进口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{关税,进口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{关税,进口关} => {关税问}",0.010796221,0.222222222,9.148148148
"{进口关税,口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{进口关,口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{关税,口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{进口关,进口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{关税,进口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{关税,进口关} => {税问题}",0.010796221,0.222222222,4.116666667
"{进口关,进口关税,口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{关税,进口关税,口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{关税,进口关,口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{关税,进口关,进口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{进口关,进口关税,口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{关税,进口关税,口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{关税,进口关,口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{关税,进口关,进口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{进口关,进口关税,口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{关税,进口关税,口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{关税,进口关,口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{关税,进口关,进口关税} => {税问题}",0.010796221,0.222222222,4.116666667
"{关税,进口关,进口关税,口关税} => {关税问题}",0.010796221,0.222222222,9.148148148
"{关税,进口关,进口关税,口关税} => {关税问}",0.010796221,0.222222222,9.148148148
"{关税,进口关,进口关税,口关税} => {税问题}",0.010796221,0.222222222,4.116666667
{进料加工} => {来料加工},0.008097166,0.206896552,7.665517241
{进料加} => {来料加工},0.008097166,0.206896552,7.665517241
{进料加工} => {来料加},0.008097166,0.206896552,7.300492611
{进料加} => {来料加},0.008097166,0.206896552,7.300492611
"{进料加,进料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料,进料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料,进料加} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料加,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料加} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料加,进料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料,进料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料,进料加} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料加,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料加} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料,进料加,进料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料加,进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料加,进料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料,进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料,进料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料,进料加,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料,进料加} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料加,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料,进料加,进料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料加,进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料加,进料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料,进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料,进料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料,进料加,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料,进料加} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料加,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{进料,进料加,进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料,进料加,进料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料加,进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料,进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料,进料加,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{进料,进料加,进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料,进料加,进料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料加,进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料,进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料,进料加,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
"{加工,进料,进料加,进料加工,料加工} => {来料加工}",0.008097166,0.206896552,7.665517241
"{加工,进料,进料加,进料加工,料加工} => {来料加}",0.008097166,0.206896552,7.300492611
{税的问题} => {关税},0.004048583,0.2,1.8525
{加工贸易} => {来料加工},0.002699055,0.2,7.41
{加工贸易} => {来料加},0.002699055,0.2,7.057142857
{加工贸易} => {进料加工},0.002699055,0.2,5.110344828
{加工贸易} => {进料加},0.002699055,0.2,5.110344828
{加工贸易} => {进料},0.002699055,0.2,4.63125
{香港} => {公司},0.008097166,0.2,3.22173913
{增值税} => {税问题},0.006747638,0.2,3.705
{进口付} => {付款},0.008097166,0.2,4.358823529
{税问题} => {口关税},0.010796221,0.2,4.116666667
{税问题} => {进口关税},0.010796221,0.2,4.116666667
{税问题} => {进口关},0.010796221,0.2,4.116666667
"{加工贸易,贸易} => {来料加工}",0.002699055,0.2,7.41
"{加工贸易,贸易} => {来料加}",0.002699055,0.2,7.057142857
"{加工贸易,贸易} => {进料加工}",0.002699055,0.2,5.110344828
"{加工贸易,贸易} => {进料加}",0.002699055,0.2,5.110344828
"{加工贸易,贸易} => {进料}",0.002699055,0.2,4.63125
"{加工,加工贸易} => {来料加工}",0.002699055,0.2,7.41
"{加工,加工贸易} => {来料加}",0.002699055,0.2,7.057142857
"{加工,加工贸易} => {进料加工}",0.002699055,0.2,5.110344828
"{加工,加工贸易} => {进料加}",0.002699055,0.2,5.110344828
"{加工,加工贸易} => {进料}",0.002699055,0.2,4.63125
"{加工,贸易} => {来料加工}",0.002699055,0.2,7.41
"{加工,贸易} => {来料加}",0.002699055,0.2,7.057142857
"{加工,贸易} => {进料加工}",0.002699055,0.2,5.110344828
"{加工,贸易} => {进料加}",0.002699055,0.2,5.110344828
"{加工,贸易} => {进料}",0.002699055,0.2,4.63125
"{加工,加工贸易,贸易} => {来料加工}",0.002699055,0.2,7.41
"{加工,加工贸易,贸易} => {来料加}",0.002699055,0.2,7.057142857
"{加工,加工贸易,贸易} => {进料加工}",0.002699055,0.2,5.110344828
"{加工,加工贸易,贸易} => {进料加}",0.002699055,0.2,5.110344828
"{加工,加工贸易,贸易} => {进料}",0.002699055,0.2,4.63125
